N10_Grd_Prod_Pwr_Avg,M10_Grd_Prod_Pwr_Avg,N10_Amb_WindSpeed_Avg,M10_Amb_WindSpeed_Avg,N10_Amb_WindDir_Abs_Avg,WindSpeed_Mean,power_inferred_N10_windspeed,jensen_M10_windspeed,jensen_M10_power,power_inferred_M10_windspeed
3450.5,3267.8,13.2,10.8,226.2,10.794690265486727,13.2,13.131313131313131,3448.0,11.058686228742914
3450.5,3130.6,13.6,10.8,226.5,10.9929203539823,13.6,13.636363636363637,3448.0,10.748249416472158
3450.4,3012.7,13.2,10.4,226.2,11.088495575221241,13.2,13.131313131313131,3448.0,10.50433477825942
3450.5,3103.4,13.8,10.6,226.7,10.837500000000002,13.8,13.88888888888889,3448.0,10.691230410136711
3450.4,3354.8,14.2,11.4,226.7,11.084821428571429,14.2,14.141414141414142,3448.0,11.378626208736245
1624.5,701.4,8.5,5.8,226.9,6.582882882882883,8.388296098699566,8.333333333333334,1592.9713237745912,6.408469489829944
3450.4,3450.9,21.5,20.1,226.4,20.399122807017548,21.5,21.464646464646467,3448.0,20.1
3450.4,3450.9,21.7,20.3,226.9,20.536842105263155,21.7,21.71717171717172,3448.0,20.3
3450.4,3451.0,21.3,20.2,226.5,20.140350877192986,21.3,21.212121212121215,3448.0,20.2
3450.4,3450.9,21.8,20.2,226.2,20.185964912280703,21.8,21.71717171717172,3448.0,20.2
3450.4,3450.9,22.1,20.7,226.2,20.631578947368418,22.1,22.222222222222225,3448.0,20.7
1031.1,494.8,7.3,5.6,226.2,4.89478260869565,7.235245081693898,7.3232323232323235,1070.8299433144382,5.7432477492497505
273.3,174.8,5.0,4.1,226.4,3.3,4.824608202734245,4.7979797979797985,268.45181727242414,4.305101700566856
2350.5,822.6,10.1,6.5,226.4,7.935344827586208,9.50333444481494,9.595959595959597,2413.686895631878,6.731577192397466
2098.8,784.4,9.7,6.7,226.5,7.464655172413793,9.135878626208736,9.090909090909092,2068.6068689563185,6.633377792597532
3188.8,1913.0,11.4,9.0,226.2,9.926724137931036,10.86862287429143,10.85858585858586,3184.0956985661887,8.853951317105702
3450.6,3257.6,13.6,10.9,226.9,11.691379310344827,13.6,13.636363636363637,3448.0,11.020673557852618
3450.5,2760.4,13.0,10.1,226.1,10.966379310344829,13.0,12.878787878787879,3448.0,10.105201733911304
3366.8,1502.1,11.8,7.9,226.9,9.267241379310345,11.422974324774925,11.363636363636365,3350.6782260753585,8.176058686228743
3255.7,1495.7,11.5,8.1,226.0,9.505172413793105,11.014338112704234,11.111111111111112,3282.6102034011337,8.166555518506168
1683.6,520.6,8.8,5.4,226.7,7.665517241379309,8.492830943647881,8.585858585858587,1741.8659553184389,5.8351117039013
650.5,580.0,6.4,6.1,226.7,5.70603448275862,6.253251083694565,6.313131313131313,670.4344781593865,6.03784594864955
821.1,569.5,6.8,6.0,226.5,5.839655172413793,6.728409469823275,6.818181818181818,855.671223741247,6.006168722907636
3450.4,2402.8,12.8,9.9,226.7,10.384482758620688,12.8,12.878787878787879,3448.0,9.579359786595532
222.7,81.1,4.7,3.8,226.2,3.473275862068965,4.571190396798933,4.545454545454546,217.26142047349114,3.7000666888962987
195.8,42.8,4.7,3.5,226.0,3.5413793103448277,4.42864288096032,4.545454545454546,217.26142047349114,3.3896298766255417
523.9,289.6,6.0,4.9,226.7,4.573043478260869,5.844614871623874,5.808080808080809,512.8486162054019,4.90380126708903
214.7,110.1,4.9,4.2,226.2,4.719827586206896,4.5331777259086365,4.545454545454546,217.26142047349114,3.909136378792931
648.6,439.7,6.4,5.6,226.9,5.2172413793103445,6.246915638546183,6.313131313131313,670.4344781593865,5.546848949649883
1026.6,667.5,7.3,6.1,226.8,6.000869565217391,7.225741913971324,7.3232323232323235,1070.8299433144382,6.303934644881627
877.1,630.1,7.1,6.0,226.4,6.101739130434783,6.870956985661888,6.818181818181818,855.671223741247,6.189896632210736
2034.8,796.5,9.4,6.1,226.2,7.910344827586207,9.040846948982995,9.090909090909092,2068.6068689563185,6.665055018339446
3420.0,2358.1,12.4,9.6,226.3,10.51637931034483,11.834778259419807,11.86868686868687,3423.4838279426476,9.516005335111704
3428.8,2560.3,12.6,10.0,226.4,11.249137931034484,11.923474491497165,11.86868686868687,3423.4838279426476,9.807435811937312
3450.7,3096.6,13.2,10.6,226.3,11.15948275862069,13.2,13.131313131313131,3448.0,10.678559519839947
3450.4,2679.6,12.8,10.3,226.7,10.629310344827585,12.8,12.878787878787879,3448.0,9.98166055351784
3420.7,2177.5,11.9,9.2,226.0,10.358620689655174,11.841113704568189,11.86868686868687,3423.4838279426476,9.249916638879625
3436.7,1804.2,12.0,8.4,226.2,9.122413793103451,12.028009336445482,12.121212121212121,3438.8769589863286,8.682894298099367
61.2,23.9,3.7,3.2,226.7,3.775,3.5575191730576856,3.5353535353535355,57.94831610536849,3.183727909303101
253.7,91.4,4.7,3.6,226.2,3.850862068965517,4.726408802934311,4.7979797979797985,268.45181727242414,3.772924308102701
276.3,117.2,4.9,3.9,226.7,3.9387931034482757,4.83727909303101,4.7979797979797985,268.45181727242414,3.9598199399799934
1789.1,777.1,9.0,6.2,226.1,6.762931034482759,8.657552517505835,8.585858585858587,1741.8659553184389,6.614371457152384
466.3,312.5,5.7,5.0,226.9,5.262931034482759,5.641880626875626,5.555555555555556,442.77859286428793,5.0146715571857285
405.5,189.4,5.5,4.3,226.5,4.597413793103449,5.407469156385462,5.303030303030304,380.4924974991664,4.390630210070023
